model,legend,pulse_rate_hz,push_rate_per_s,push_rate_mps,pulse_period_cycles,source_burst_cycles,sample_cycles,min_cells,p50_cells,max_cells,mean_cells,offered_hits,emitted_transactions,max_latency_cycles,max_latency_us,p50_latency_cycles,p50_latency_us,n_bins,clock_hz,push_hits_per_cycle,drain_cells_per_cycle,warmup_pulses,sample_pulses
infinite_update_queue,D/D/1 infinite K,10000,2560000,2.56,12500,128,1600000,0,0,192,3.9424,32768,40960,384,3.072,193,1.544,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,30000,7680000,7.68,4166.66666667,128,533334,0,0,192,11.786385267,32768,40960,384,3.072,192,1.536,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,50000,12800000,12.8,2500,128,320000,0,0,192,19.712,32768,40960,384,3.072,193,1.544,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,70000,17920000,17.92,1785.71428571,128,228571,0,0,192,27.5139715887,32768,40960,384,3.072,192,1.536,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,90000,23040000,23.04,1388.88888889,128,177778,0,0,192,35.3994757507,32768,40960,384,3.072,192,1.536,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,100000,25600000,25.6,1250,128,160000,0,0,192,39.424,32768,40960,384,3.072,193,1.544,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,110000,28160000,28.16,1136.36363636,128,145454,0,0,192,43.2451221692,32768,40960,384,3.072,192,1.536,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,130000,33280000,33.28,961.538461538,128,123077,0,12,192,51.126368046,32768,40960,384,3.072,192,1.536,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,150000,38400000,38.4,833.333333333,128,106666,0,36,192,58.9323683273,32768,40960,384,3.072,192,1.536,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,170000,43520000,43.52,735.294117647,128,94118,0,54,192,66.8546292951,32768,40960,384,3.072,192,1.536,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,190000,48640000,48.64,657.894736842,128,84210,0,69,192,74.7084669279,32768,40960,384,3.072,192,1.536,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,210000,53760000,53.76,595.238095238,128,76190,0,80,192,82.5859561622,32768,40960,384,3.072,192,1.536,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,230000,58880000,58.88,543.47826087,128,69566,0,90,192,90.4276226892,32768,40960,384,3.072,192,1.536,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,244140.625,62500000,62.5,512,128,65536,0,96,192,96.25,32768,40960,384,3.072,193,1.544,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,250000,64000000,64,500,128,64000,194,671,1146,671.488,32768,40000,2244,17.952,1312,10.496,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,270000,69120000,69.12,462.962962963,128,59259,786,2447,4091,2446.6692823,32768,37037,7396,59.168,4425,35.4,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,290000,74240000,74.24,431.034482759,128,55173,1297,3977,6629,3976.66407482,32768,34483,11152,89.216,6694,53.552,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,310000,79360000,79.36,403.225806452,128,51613,1742,5307,8840,5308.82359096,32768,32258,13981,111.848,8364,66.912,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,330000,84480000,84.48,378.787878788,128,48485,2133,6480,10783,6479.24188924,32768,30303,15970,127.76,9588,76.704,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,350000,89600000,89.6,357.142857143,128,45714,2479,7519,12503,7515.68451678,32768,28571,17421,139.368,10483,83.864,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,370000,94720000,94.72,337.837837838,128,43243,2788,8444,14038,8439.68228384,32768,27027,18507,148.056,11144,89.152,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,390000,99840000,99.84,320.512820513,128,41026,3066,9269,15415,9268.60076537,32768,25641,19341,154.728,11604,92.832,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,410000,104960000,104.96,304.87804878,128,39024,3316,10013,16658,10016.4305043,32768,24390,19853,158.824,11927,95.416,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,430000,110080000,110.08,290.697674419,128,37210,3543,10688,17786,10694.6010481,32768,23256,20241,161.928,12145,97.16,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,450000,115200000,115.2,277.777777778,128,35555,3749,11303,18813,11312.0726761,32768,22222,20452,163.616,12271,98.168,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,470000,120320000,120.32,265.957446809,128,34042,3938,11866,19753,11876.9666882,32768,21276,20559,164.472,12345,98.76,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,490000,125440000,125.44,255.102040816,128,32653,4112,12382,20616,12395.2323523,32768,20408,20571,164.568,12362,98.896,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,510000,130560000,130.56,245.098039216,128,31373,4272,12859,21411,12873.0203041,32768,19608,20513,164.104,12328,98.624,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,530000,135680000,135.68,235.849056604,128,30189,4420,13299,22146,13314.3125642,32768,18868,20429,163.432,12247,97.976,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,550000,140800000,140.8,227.272727273,128,29091,4557,13707,22828,13723.5802138,32768,18182,20315,162.52,12196,97.568,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,570000,145920000,145.92,219.298245614,128,28070,4685,14087,23462,14103.8008194,32768,17544,20108,160.864,12070,96.56,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,590000,151040000,151.04,211.86440678,128,27118,4804,14441,24053,14457.7887381,32768,16949,19893,159.144,11984,95.872,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,610000,156160000,156.16,204.918032787,128,26230,4915,14771,24605,14788.5160503,32768,16393,19730,157.84,11831,94.648,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,630000,161280000,161.28,198.412698413,128,25397,5019,15081,25122,15098.1640745,32768,15873,19513,156.104,11681,93.448,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,650000,166400000,166.4,192.307692308,128,24615,5117,15371,25608,15388.6706886,32768,15384,19246,153.968,11552,92.416,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,670000,171520000,171.52,186.567164179,128,23881,5209,15645,26064,15661.6889996,32768,14925,18990,151.92,11417,91.336,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,690000,176640000,176.64,181.15942029,128,23189,5295,15902,26494,15918.8006814,32768,14493,18762,150.096,11270,90.16,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,710000,181760000,181.76,176.056338028,128,22535,5377,16145,26900,16161.0457067,32768,14084,18525,148.2,11113,88.904,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,730000,186880000,186.88,171.232876712,128,21918,5454,16375,27283,16389.5285154,32768,13698,18256,146.048,10947,87.576,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,750000,192000000,192,166.666666667,128,21334,5527,16592,27646,16606.4670479,32768,13333,17996,143.968,10801,86.408,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,770000,197120000,197.12,162.337662338,128,20779,5596,16798,27990,16811.7166851,32768,12987,17763,142.104,10659,85.272,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,790000,202240000,202.24,158.227848101,128,20253,5662,16993,28317,17005.910828,32768,12658,17506,140.048,10515,84.12,256,125000000,2,0.5,32,128
infinite_update_queue,D/D/1 infinite K,810000,207360000,207.36,154.320987654,128,19753,5725,17179,28628,17190.8857895,32768,12345,17254,138.032,10374,82.992,256,125000000,2,0.5,32,128
