traffic,model,legend,pulse_rate_hz,push_rate_per_s,push_rate_mps,pulse_period_cycles,source_burst_cycles,sample_cycles,min_cells,p50_cells,max_cells,mean_cells,max_pending_kicks,mean_pending_kicks,offered_hits,emitted_transactions,emitted_kicks,overflow_events,saturation_events,queue_capacity,n_bins,clock_hz,push_hits_per_cycle,drain_cells_per_cycle,warmup_pulses,sample_pulses,min_kick_count,p50_kick_count,max_kick_count,mean_kick_count,source_arrivals,source_fifo_min_cells,source_fifo_p50_cells,source_fifo_max_cells,source_fifo_mean_cells
iid_poisson_256_sources,per_bin_counter,per-bin counters,10000,2560000,2.56,12500,0,50000,0,0,2,0.0113,2,0.0113,1042,1042,1042,0,0,256,256,125000000,2,0.5,32,128,1,1,1,1,1042,0,0,0,0
iid_poisson_256_sources,tag_addressable_cb,tag-addressable CB,10000,2560000,2.56,12500,0,50000,0,0,2,0.0113,2,0.0113,1042,1042,1042,0,0,256,256,125000000,2,0.5,32,128,1,1,1,1,1042,0,0,0,0
iid_poisson_256_sources,per_bin_counter,per-bin counters,30000,7680000,7.68,4166.66666667,0,50000,0,0,4,0.03838,4,0.03838,2987,2987,2987,0,0,256,256,125000000,2,0.5,32,128,1,1,1,1,2987,0,0,3,0.00012
iid_poisson_256_sources,tag_addressable_cb,tag-addressable CB,30000,7680000,7.68,4166.66666667,0,50000,0,0,4,0.03832,4,0.03834,2987,2986,2987,0,0,256,256,125000000,2,0.5,32,128,1,1,2,1.00052192067,2987,0,0,3,0.00012
iid_poisson_256_sources,per_bin_counter,per-bin counters,50000,12800000,12.8,2500,0,50000,0,0,3,0.07842,3,0.07844,5093,5089,5093,0,0,256,256,125000000,2,0.5,32,128,1,1,2,1.00025503698,5093,0,0,1,4e-05
iid_poisson_256_sources,tag_addressable_cb,tag-addressable CB,50000,12800000,12.8,2500,0,50000,0,0,3,0.07842,3,0.07844,5093,5089,5093,0,0,256,256,125000000,2,0.5,32,128,1,1,2,1.00025503698,5093,0,0,1,4e-05
iid_poisson_256_sources,per_bin_counter,per-bin counters,70000,17920000,17.92,1785.71428571,0,50000,0,0,4,0.13084,4,0.13094,7263,7254,7263,0,0,256,256,125000000,2,0.5,32,128,1,1,2,1.00076429227,7263,0,0,1,0.00048
iid_poisson_256_sources,tag_addressable_cb,tag-addressable CB,70000,17920000,17.92,1785.71428571,0,50000,0,0,4,0.13084,4,0.13094,7263,7254,7263,0,0,256,256,125000000,2,0.5,32,128,1,1,2,1.00076429227,7263,0,0,1,0.00048
iid_poisson_256_sources,per_bin_counter,per-bin counters,90000,23040000,23.04,1388.88888889,0,50000,0,0,5,0.198,5,0.19828,9185,9172,9185,0,0,256,256,125000000,2,0.5,32,128,1,1,2,1.00141414141,9185,0,0,2,0.00096
iid_poisson_256_sources,tag_addressable_cb,tag-addressable CB,90000,23040000,23.04,1388.88888889,0,50000,0,0,5,0.19754,5,0.19772,9185,9169,9185,0,0,256,256,125000000,2,0.5,32,128,1,1,2,1.00091120786,9185,0,0,2,0.00096
iid_poisson_256_sources,per_bin_counter,per-bin counters,100000,25600000,25.6,1250,0,50000,0,0,5,0.23002,5,0.23016,10046,10037,10046,0,0,256,256,125000000,2,0.5,32,128,1,1,2,1.00060864273,10046,0,0,2,0.00086
iid_poisson_256_sources,tag_addressable_cb,tag-addressable CB,100000,25600000,25.6,1250,0,50000,0,0,5,0.22962,5,0.22984,10046,10033,10046,0,0,256,256,125000000,2,0.5,32,128,1,1,2,1.00095810469,10046,0,0,2,0.00086
iid_poisson_256_sources,per_bin_counter,per-bin counters,110000,28160000,28.16,1136.36363636,0,50000,0,0,5,0.28722,5,0.28756,11307,11295,11307,0,0,256,256,125000000,2,0.5,32,128,1,1,2,1.00118376158,11307,0,0,2,0.00184
iid_poisson_256_sources,tag_addressable_cb,tag-addressable CB,110000,28160000,28.16,1136.36363636,0,50000,0,0,5,0.28706,5,0.28728,11307,11294,11307,0,0,256,256,125000000,2,0.5,32,128,1,1,2,1.0007663903,11307,0,0,2,0.00184
iid_poisson_256_sources,per_bin_counter,per-bin counters,130000,33280000,33.28,961.538461538,0,50000,0,0,6,0.41594,6,0.41656,13397,13376,13397,0,0,256,256,125000000,2,0.5,32,128,1,1,2,1.00149059961,13397,0,0,2,0.00254
iid_poisson_256_sources,tag_addressable_cb,tag-addressable CB,130000,33280000,33.28,961.538461538,0,50000,0,0,6,0.41552,6,0.41608,13397,13374,13397,0,0,256,256,125000000,2,0.5,32,128,1,1,2,1.00134770889,13397,0,0,2,0.00254
iid_poisson_256_sources,per_bin_counter,per-bin counters,150000,38400000,38.4,833.333333333,0,50000,0,0,7,0.60796,7,0.60996,15205,15166,15207,0,0,256,256,125000000,2,0.5,32,128,1,1,2,1.00328969011,15205,0,0,3,0.00546
iid_poisson_256_sources,tag_addressable_cb,tag-addressable CB,150000,38400000,38.4,833.333333333,0,50000,0,0,7,0.60654,7,0.60828,15205,15162,15207,0,0,256,256,125000000,2,0.5,32,128,1,1,2,1.00286873083,15205,0,0,3,0.00546
iid_poisson_256_sources,per_bin_counter,per-bin counters,170000,43520000,43.52,735.294117647,0,50000,0,0,12,0.95864,12,0.96362,17503,17422,17503,0,0,256,256,125000000,2,0.5,32,128,1,1,2,1.00519485938,17503,0,0,3,0.00628
iid_poisson_256_sources,tag_addressable_cb,tag-addressable CB,170000,43520000,43.52,735.294117647,0,50000,0,0,12,0.96192,12,0.96482,17503,17439,17503,0,0,256,256,125000000,2,0.5,32,128,1,1,2,1.00301480373,17503,0,0,3,0.00628
iid_poisson_256_sources,per_bin_counter,per-bin counters,190000,48640000,48.64,657.894736842,0,50000,0,1,14,1.4138,14,1.42492,19361,19232,19361,0,0,256,256,125000000,2,0.5,32,128,1,1,2,1.00786532749,19361,0,0,3,0.00786
iid_poisson_256_sources,tag_addressable_cb,tag-addressable CB,190000,48640000,48.64,657.894736842,0,50000,0,1,14,1.41956,14,1.42832,19361,19245,19361,0,0,256,256,125000000,2,0.5,32,128,1,1,3,1.0061709262,19361,0,0,3,0.00786
iid_poisson_256_sources,per_bin_counter,per-bin counters,210000,53760000,53.76,595.238095238,0,50000,0,2,24,2.63672,26,2.68538,21538,21278,21539,0,0,256,256,125000000,2,0.5,32,128,1,1,3,1.01845474681,21538,0,0,3,0.01254
iid_poisson_256_sources,tag_addressable_cb,tag-addressable CB,210000,53760000,53.76,595.238095238,0,50000,0,2,24,2.67302,25,2.70926,21538,21283,21539,0,0,256,256,125000000,2,0.5,32,128,1,1,3,1.01355769878,21538,0,0,3,0.01254
iid_poisson_256_sources,per_bin_counter,per-bin counters,230000,58880000,58.88,543.47826087,0,50000,0,4,27,4.57466,30,4.66258,23581,23131,23581,0,0,256,256,125000000,2,0.5,32,128,1,1,5,1.01921891463,23581,0,0,3,0.01576
iid_poisson_256_sources,tag_addressable_cb,tag-addressable CB,230000,58880000,58.88,543.47826087,0,50000,0,4,28,4.58704,30,4.65766,23581,23132,23581,0,0,256,256,125000000,2,0.5,32,128,1,1,4,1.0153955492,23581,0,0,3,0.01576
iid_poisson_256_sources,per_bin_counter,per-bin counters,244140.625,62500000,62.5,512,0,50000,0,8,34,8.83246,36,9.1349,25125,24235,25113,0,0,256,256,125000000,2,0.5,32,128,1,1,3,1.03424187599,25125,0,0,4,0.01972
iid_poisson_256_sources,tag_addressable_cb,tag-addressable CB,244140.625,62500000,62.5,512,0,50000,0,8,34,8.67628,36,8.90454,25125,24231,25115,0,0,256,256,125000000,2,0.5,32,128,1,1,4,1.0263085101,25125,0,0,4,0.01972
iid_poisson_256_sources,per_bin_counter,per-bin counters,250000,64000000,64,500,0,50000,0,9,51,10.65934,56,11.14156,25454,24400,25467,0,0,256,256,125000000,2,0.5,32,128,1,1,4,1.04523919867,25455,0,0,3,0.01854
iid_poisson_256_sources,tag_addressable_cb,tag-addressable CB,250000,64000000,64,500,0,50000,0,9,52,10.77442,54,11.13828,25454,24411,25465,0,0,256,256,125000000,2,0.5,32,128,1,1,4,1.03377072733,25455,0,0,3,0.01854
iid_poisson_256_sources,per_bin_counter,per-bin counters,270000,69120000,69.12,462.962962963,0,50000,0,24,57,24.02074,67,25.96734,27591,24972,27589,0,0,256,256,125000000,2,0.5,32,128,1,1,5,1.08103830273,27591,0,0,4,0.02602
iid_poisson_256_sources,tag_addressable_cb,tag-addressable CB,270000,69120000,69.12,462.962962963,0,50000,0,24,56,23.82204,66,25.2947,27591,24968,27591,0,0,256,256,125000000,2,0.5,32,128,1,1,4,1.06181922287,27591,0,0,4,0.02602
iid_poisson_256_sources,per_bin_counter,per-bin counters,290000,74240000,74.24,431.034482759,0,50000,7,39,78,39.24588,88,44.24374,29596,25000,29566,0,0,256,256,125000000,2,0.5,32,128,1,1,6,1.12734738016,29596,0,0,4,0.03256
iid_poisson_256_sources,tag_addressable_cb,tag-addressable CB,290000,74240000,74.24,431.034482759,0,50000,7,41,77,39.7973,89,43.67052,29596,25000,29569,0,0,256,256,125000000,2,0.5,32,128,1,1,5,1.09732368779,29596,0,0,4,0.03256
iid_poisson_256_sources,per_bin_counter,per-bin counters,310000,79360000,79.36,403.225806452,0,50000,17,56,85,54.89642,110,64.8569,31857,25000,31861,0,0,256,256,125000000,2,0.5,32,128,1,1,5,1.18144133989,31857,0,0,4,0.03866
