traffic,active_bins,stall_cycles,hit_probability_per_cycle,no_drop_worst_case_depth,depth_for_drop_le_5pct,depth_for_drop_le_1pct,depth_for_drop_le_0p1pct,depth_for_drop_le_1ppm,default_depth_160_drop_probability,kick_saturation_probability_exact_when_active_bins_1,definition
single_bin_hotspot,1,16,0.10,1,1,1,1,1,0,0,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,16,0.25,1,1,1,1,1,0,0,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,16,0.50,1,1,1,1,1,0,0,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,16,0.75,1,1,1,1,1,0,0,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,16,1.00,1,1,1,1,1,0,0,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,64,0.10,1,1,1,1,1,0,0,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,64,0.25,1,1,1,1,1,0,0,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,64,0.50,1,1,1,1,1,0,0,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,64,0.75,1,1,1,1,1,0,0,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,64,1.00,1,1,1,1,1,0,0,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,128,0.10,1,1,1,1,1,0,0,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,128,0.25,1,1,1,1,1,0,0,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,128,0.50,1,1,1,1,1,0,0,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,128,0.75,1,1,1,1,1,0,0,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,128,1.00,1,1,1,1,1,0,0,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,256,0.10,1,1,1,1,1,0,1e-256,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,256,0.25,1,1,1,1,1,0,7.4583407312e-155,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,256,0.50,1,1,1,1,1,0,8.63616855509e-78,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,256,0.75,1,1,1,1,1,0,1.03677240235e-32,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,256,1.00,1,1,1,1,1,0,1,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,512,0.10,1,1,1,1,1,0,1.02665016272e-115,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,512,0.25,1,1,1,1,1,0,5.46013420246e-34,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,512,0.50,1,1,1,1,1,0,0.517622317743,iid over one bin; queue depth cannot fix kick saturation
single_bin_hotspot,1,512,0.75,1,1,1,1,1,0,1,iid over one bin; queue depth cannot fix kick saturation
