traffic,legend,queue_depth,loss_rate,link_rate_mhit_s,stall_cycles,active_channels,definition
iid_256,iid 256-channel,1,0.992202758789,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,1,0.875,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,1,0.99609375,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,2,0.984420836206,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,2,0.75,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,2,0.9921875,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,3,0.976654292559,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,3,0.625,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,3,0.98828125,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,4,0.968903188636,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,4,0.5,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,4,0.984375,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,5,0.961167585705,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,5,0.375,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,5,0.98046875,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,6,0.953447545523,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,6,0.25,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,6,0.9765625,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,7,0.945743130341,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,7,0.125,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,7,0.97265625,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,8,0.93805440291,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,8,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,8,0.96875,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,9,0.930381426487,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,9,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,9,0.96484375,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,10,0.922724264841,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,10,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,10,0.9609375,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,11,0.91508298226,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,11,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,11,0.95703125,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,12,0.907457643557,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,12,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,12,0.953125,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,13,0.899848314075,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,13,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,13,0.94921875,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,14,0.892255059696,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,14,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,14,0.9453125,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,15,0.884677946846,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
