cycle,hit_valid,hit_bin,drain_ready
0,1,10,1
1,1,10,1
2,1,10,1
3,1,10,1
4,1,10,1
5,1,10,1
6,1,10,1
7,1,10,1
8,1,10,1
9,1,10,1
10,1,10,1
11,1,10,1
12,1,10,1
13,1,10,1
14,1,10,1
15,1,10,1
16,1,10,1
17,1,10,1
18,1,10,1
19,1,10,1
20,0,0,1
21,0,0,1
22,0,0,1
23,0,0,1
24,0,0,1
25,0,0,1
26,0,0,1
27,0,0,1
28,0,0,1
29,0,0,1
30,0,0,1
31,0,0,1
32,0,0,1
33,0,0,1
34,0,0,1
35,0,0,1
36,0,0,1
37,0,0,1
38,0,0,1
39,0,0,1
40,0,0,1
41,0,0,1
42,0,0,1
43,0,0,1
44,0,0,1
45,0,0,1
46,0,0,1
47,0,0,1
48,0,0,1
49,0,0,1
50,0,0,1
51,0,0,1
52,0,0,1
53,0,0,1
54,0,0,1
55,0,0,1
56,0,0,1
57,0,0,1
58,0,0,1
59,0,0,1
60,0,0,1
61,0,0,1
62,0,0,1
63,0,0,1
64,0,0,1
65,0,0,1
66,0,0,1
67,0,0,1
68,0,0,1
69,0,0,1
70,1,0,0
71,1,1,0
72,1,2,0
73,1,3,0
74,1,4,0
75,1,5,0
76,1,6,0
77,1,7,0
78,1,8,0
79,1,9,0
80,1,10,0
81,1,11,0
82,1,12,0
83,1,13,0
84,1,14,0
85,1,15,0
86,1,16,0
87,1,17,0
88,1,18,0
89,1,19,0
90,1,20,0
91,1,21,0
92,1,22,0
93,1,23,0
94,1,24,0
95,1,25,0
96,1,26,0
97,1,27,0
98,1,28,0
99,1,29,0
100,1,30,0
101,1,31,0
102,1,32,0
103,1,33,0
104,1,34,0
105,1,35,0
106,1,36,0
107,1,37,0
108,1,38,0
109,1,39,0
110,1,40,0
111,1,41,0
112,1,42,0
113,1,43,0
114,1,44,0
115,1,45,0
116,1,46,0
117,1,47,0
118,1,48,0
119,1,49,0
120,1,50,0
121,1,51,0
122,1,52,0
123,1,53,0
124,1,54,0
125,1,55,0
126,1,56,0
127,1,57,0
128,1,58,0
129,1,59,0
130,1,60,0
131,1,61,0
132,1,62,0
133,1,63,0
134,1,64,0
135,1,65,0
136,1,66,0
137,1,67,0
138,1,68,0
139,1,69,0
140,1,70,0
141,1,71,0
142,1,72,0
143,1,73,0
144,1,74,0
145,1,75,0
146,1,76,0
147,1,77,0
148,1,78,0
149,1,79,0
150,1,80,0
151,1,81,0
152,1,82,0
153,1,83,0
154,1,84,0
155,1,85,0
156,1,86,0
157,1,87,0
158,1,88,0
159,1,89,0
160,1,90,0
161,1,91,0
162,1,92,0
163,1,93,0
164,1,94,0
165,1,95,0
166,1,96,0
167,1,97,0
168,1,98,0
169,1,99,0
170,1,100,0
171,1,101,0
172,1,102,0
173,1,103,0
174,1,104,0
175,1,105,0
176,1,106,0
177,1,107,0
178,1,108,0
179,1,109,0
180,1,110,0
181,1,111,0
182,1,112,0
183,1,113,0
184,1,114,0
185,1,115,0
